Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
Los Cuartitos	47	14	5.88	50	7.14	7.14	14.29	1.38	0	35.71	-0.5967	Alto	9.9152	 73 087	856
La Laguna	12	3	20	60	33.33	0	0	1.33	33.33	33.33	-0.0575	Alto	14.1953	 46 783	374
La Mesa de Alcocer	21	5	0	58.33	0	40	0	2.1	0	100	0.114	Alto	15.5573	 40 037	296
La Nueva Reforma (Buenos Aires)	25	6	0	5.56	0	0	33.33	0.96	0	16.67	-1.3638	Muy bajo	3.8252	 104 535	 1 916
Santa Rita	16	5	36.36	45.45	0	0	0	0.89	0	0	-0.7428	Alto	8.7552	 80 957	 1 042
El Yerbaniz	26	6	0	35	0	83.33	50	1.63	16.67	100	0.2994	Alto	17.0288	 33 590	229
El Callejón de la Cueva	18	6	18.18	45.45	33.33	33.33	100	1.38	16.67	66.67	0.4051	Alto	17.8679	 30 335	193
La Hoya de los Nogales	43	10	0	40.74	0	10	60	1.16	10	60	-0.4823	Alto	10.8228	 66 986	726
La Palmita	10	3	50	50	33.33	0	0	1.25	0	0	-0.2352	Alto	12.7847	 54 628	484
Vista Hermosa	8	3	14.29	42.86	0	100	0	1.14	66.67	100	0.7086	Alto	20.2772	 22 524	125
Fraccionamiento del Río (Fracción del Río)	75	17	18.18	36.36	11.76	23.53	76.47	2.03	23.53	94.12	0.4445	Alto	18.1805	 29 253	184
Callejón de los Vázquez	93	24	19.7	53.97	20.83	4.17	95.83	1.6	33.33	54.17	0.3408	Alto	17.3577	 32 288	214
Aramberri (Brownsville)	26	6	0	33.33	0	0	50	1.3	0	0	-1.0436	Medio	6.3669	 95 756	 1 517
Aramberri	36	6	5.88	41.18	16.67	16.67	83.33	2.25	83.33	66.67	0.653	Alto	19.8361	 23 823	134
El Pinalito	38	10	14.29	42.86	40	60	0	1.27	10	100	0.3383	Alto	17.3373	 32 363	216
Agua de Enmedio (Los Pocitos)	31	10	28	72	40	77.78	55.56	1.19	11.11	100	1.0723	Muy alto	23.1651	 15 532	70
San Rafael de los Cortez	25	5	10.53	36.84	0	0	0	1.79	20	0	-0.7667	Alto	8.5657	 82 243	 1 091
Puerto Piñones	81	20	11.32	45.28	0	0	100	1.62	10	55	-0.1337	Alto	13.5909	 50 099	416
Aramberri	15	4	0	25	25	25	100	2.14	25	50	0.0401	Alto	14.9704	 42 833	321
San Rafael de los Cortez (La Cuesta)	74	20	12.5	60	0	0	5	1.3	10	30	-0.5184	Alto	10.5367	 68 939	769
El Cuervo Dos	15	4	11.11	55.56	25	25	66.67	1.5	75	75	0.6948	Alto	20.1675	 22 849	128
Jesús María	16	3	14.29	50	0	100	100	1.78	66.67	100	1.2762	Muy alto	24.7837	 12 532	49
Duraznillos	10	4	37.5	50	0	50	100	1.11	0	100	0.6136	Alto	19.5232	 24 767	147
Cañón de Vacas (Cañón de Arriba)	30	8	33.33	72.22	12.5	0	75	1.76	12.5	87.5	0.6519	Alto	19.8275	 23 848	135
Bustamante	 3 640	 1 066	3.73	18.95	1.41	0.56	1.32	0.97	1.5	3.56	-1.3425	Muy bajo	3.9943	 104 257	 1 895
Francisco Villa (La Becerra)	21	7	10.53	38.89	0	0	71.43	0.91	0	0	-0.8948	Medio	7.5483	 88 945	 1 298
San Isidro	9	3	14.29	57.14	0	100	100	1.8	0	100	0.8924	Muy alto	21.7363	 18 703	101
Cadereyta Jiménez	 68 111	 18 637	1.95	11.98	1.46	0.51	1.04	0.91	1.42	5.3	-1.441	Muy bajo	3.2122	 105 375	 1 957
Las Abras de Abajo	43	13	0	30	0	0	0	1.26	0	0	-1.2486	Bajo	4.7399	 102 547	 1 793
Las Abras de Arriba	57	17	0	35.71	0	0	58.82	1.33	0	5.88	-0.9479	Medio	7.1271	 91 498	 1 379
Las Adjuntas (Rancho Viejo)	195	54	3.17	30.58	0	1.85	52.83	1.25	9.26	1.85	-0.9492	Medio	7.1166	 91 559	 1 384
El Alamito	137	39	2.97	24.21	2.56	0	23.08	1.13	0	2.56	-1.1994	Bajo	5.1301	 101 270	 1 743
Atongo de Abajo	802	259	3.23	27.61	0	0	0.77	0.78	1.54	2.7	-1.3336	Muy bajo	4.065	 104 126	 1 887
Atongo de Arriba	98	31	5.13	51.95	3.23	0	29.03	0.92	3.23	6.45	-0.887	Medio	7.6104	 88 563	 1 283
El Barco	219	70	5.13	48.08	1.43	1.43	77.14	1.02	1.43	7.14	-0.7527	Alto	8.6762	 81 479	 1 063
El Barranquito	350	104	2.9	33.76	2.88	0	25.96	1.13	1.92	5.77	-1.0621	Medio	6.2202	 96 520	 1 549
El Barranquito	162	49	2.42	27.59	2.04	0	20.41	0.92	0	0	-1.2575	Bajo	4.6689	 102 748	 1 806
Las Barretas	42	14	7.14	37.04	7.14	0	100	1.02	0	7.14	-0.7485	Alto	8.7101	 81 245	 1 052
La Boquilla	61	22	4	48	0	0	22.73	0.97	0	4.55	-0.9993	Medio	6.7189	 93 853	 1 447
Casas Viejas (La Florida)	156	48	5.22	34.82	2.08	2.08	14.58	1.04	6.25	10.42	-1.0177	Medio	6.5726	 94 649	 1 479
Casas Viejas	23	7	21.05	44.44	14.29	0	100	1.44	33.33	42.86	0.101	Alto	15.4537	 40 526	299
El Castillo	148	52	6.36	36.36	3.85	0	0	0.81	1.96	1.92	-1.1817	Bajo	5.2711	 100 755	 1 718
El Castillo	36	12	7.14	40	0	0	8.33	1.03	25	0	-0.9241	Medio	7.3158	 90 370	 1 344
La Ceja	67	24	2.17	32.61	4.17	0	100	0.88	4.17	8.33	-0.8739	Medio	7.7142	 87 909	 1 262
Los Cerritos	223	60	6.04	34.69	1.67	0	10	1.37	0	6.67	-1.0144	Medio	6.5989	 94 487	 1 473
Cieneguita del Río	61	16	8.51	25.58	12.5	0	43.75	1.24	0	12.5	-0.902	Medio	7.4909	 89 317	 1 312
La Cruz	33	12	14.81	51.85	0	0	25	0.97	0	16.67	-0.7454	Alto	8.7341	 81 082	 1 047
El Chapotal	16	7	25	75	0	0	100	0.8	0	0	-0.2953	Alto	12.308	 57 470	538
Chihuahua	89	28	6.06	42.86	14.29	0	3.7	1.16	7.41	14.29	-0.8405	Medio	7.9792	 86 156	 1 199
La Chueca	169	48	1.8	26.61	8.33	2.08	20.83	0.99	0	8.33	-1.1545	Bajo	5.4871	 99 945	 1 679
Dolores	80	25	10.45	38.71	0	0	4	1.13	8	4	-0.9753	Medio	6.9097	 92 729	 1 425
La Esperanza	253	74	2.78	29.38	5.41	0	1.39	1.1	1.39	6.76	-1.1773	Bajo	5.3054	 100 618	 1 713
La Esperanza	68	21	2.27	35.71	4.76	4.76	28.57	1.19	0	4.76	-1.0048	Medio	6.6752	 94 069	 1 454
General Treviño (Escondida)	59	20	6.82	45.24	5	0	65	1	10	5	-0.7462	Alto	8.7283	 81 123	 1 048
La Haciendita	411	113	3.9	31.9	2.65	1.79	99.12	1.21	3.54	9.73	-0.7656	Alto	8.5742	 82 193	 1 088
Lajitas de Abajo (Las Lajitas)	35	12	7.69	34.62	16.67	0	66.67	0.88	0	8.33	-0.8486	Medio	7.9155	 86 595	 1 217
La Leona	10	3	0	37.5	33.33	0	0	1.67	0	33.33	-0.6667	Alto	9.3595	 76 861	941
El Matorral	28	10	4.55	28.57	10	0	80	1.12	0	10	-0.8677	Medio	7.7633	 87 581	 1 253
Mexiquito	44	14	8.82	47.06	0	0	0	0.88	7.14	7.14	-0.9812	Medio	6.8629	 92 994	 1 429
Molino Viejo	29	8	12.5	25	0	0	12.5	0.94	0	0	-1.189	Bajo	5.2126	 100 954	 1 728
El Nogalito	26	7	0	37.5	0	0	28.57	1.63	0	14.29	-0.8948	Medio	7.5483	 88 942	 1 296
El Nogal	171	52	1.3	31.69	1.92	0	71.15	0.93	0	0	-1.0654	Medio	6.1938	 96 669	 1 556
Las Palmas	50	16	7.32	56.1	0	0	18.75	0.93	6.67	6.25	-0.8453	Medio	7.9415	 86 429	 1 211
Palmitos	670	202	4.93	27.23	2.48	0	20.79	0.92	2.48	4.46	-1.1818	Bajo	5.2697	 100 762	 1 719
Palmitos (Hacienda Palmitos)	478	150	5.77	32.5	4	0	8.16	1.01	2.04	8.67	-1.104	Bajo	5.8875	 98 173	 1 603
Los Potreros	17	4	0	44.44	0	0	100	3.4	0	0	-0.1988	Alto	13.0738	 53 028	467
La Presa (La Presita)	82	22	7.81	54.84	0	0	31.82	1.17	9.09	0	-0.765	Alto	8.5792	 82 165	 1 086
La Purísima	185	56	5.93	33.59	3.57	0	85.45	1.01	0	5.36	-0.8789	Medio	7.6744	 88 154	 1 268
Rancho Viejo	337	87	5.6	27.35	2.3	0	2.33	1.2	2.33	6.9	-1.1425	Bajo	5.5823	 99 529	 1 662
El Refugio (El Nopalito)	134	41	5.56	39.33	4.88	0	21.95	0.98	0	4.88	-1.0349	Medio	6.4359	 95 363	 1 506
El Refugio	262	93	5.14	37.14	0	1.08	37.63	0.86	0	4.3	-1.0692	Bajo	6.164	 96 831	 1 559
Los Rodríguez	10	4	37.5	62.5	0	0	75	0.91	0	25	-0.1617	Alto	13.3679	 51 318	441
Sabarado (Trancas y Sabarado)	39	9	0	53.85	11.11	0	100	2.17	11.11	11.11	-0.2335	Alto	12.7981	 54 562	482
Salitrillo	43	9	4.76	45	0	11.11	100	0.94	0	11.11	-0.6701	Alto	9.332	 77 058	945
San Bartolo (Puerto Rico)	201	59	2.05	25.69	3.39	0	1.75	1.18	1.72	10.17	-1.1885	Bajo	5.217	 100 939	 1 727
San Bartolo	141	46	0.96	37.62	0	2.17	6.52	0.99	0	6.52	-1.1611	Bajo	5.4345	 100 165	 1 695
San Diego	21	6	5.88	29.41	0	0	33.33	1.5	0	0	-1.0079	Medio	6.6503	 94 201	 1 463
San Diego y Molino Viejo	134	37	11.24	24.42	0	0	35.14	1.31	0	2.7	-1.0202	Medio	6.5533	 94 746	 1 483
San Isidro	139	43	2.8	33.98	6.98	0	80.95	0.86	0	2.33	-0.9681	Medio	6.9666	 92 430	 1 415
San José	94	32	0	33.8	0	0	87.5	0.8	0	6.25	-1.017	Medio	6.5783	 94 611	 1 478
San Juan	 1 478	452	3.6	19.32	3.1	0.22	1.56	0.96	1.34	5.31	-1.3253	Muy bajo	4.1307	 104 003	 1 880
San Juan (El Calvario)	356	84	6.3	29.06	0	1.19	97.62	1.31	16.67	4.76	-0.6998	Alto	9.0964	 78 604	980
San Juan de los Garza (San Juanito)	168	46	0.89	23.42	6.52	0	4.35	1.26	8.7	0	-1.1905	Bajo	5.2012	 101 001	 1 730
San Lorenzo	120	37	5.56	25.56	2.7	0	51.35	1.03	0	5.41	-1.0721	Bajo	6.1411	 96 936	 1 561
San Lorenzo	280	81	6.22	41.15	3.7	1.23	93.83	1.08	0	6.17	-0.7412	Alto	8.7682	 80 849	 1 038
San Miguel (El Barranco Blanco)	116	36	8.51	32.61	8.33	0	13.89	1.01	5.56	2.78	-1.0365	Medio	6.4239	 95 438	 1 510
San Miguelito	114	38	10	51.11	0	5.26	13.16	1	0	13.16	-0.8315	Medio	8.0509	 85 712	 1 181
San Miguelito	38	13	4.17	37.5	0	0	23.08	1.03	7.69	7.69	-1.0113	Medio	6.6235	 94 339	 1 468
San Rafael	122	36	1.16	38.37	5.56	0	29.41	1.34	5.71	11.11	-0.8957	Medio	7.5412	 88 987	 1 302
Santa Efigenia	110	36	6.67	41.18	5.56	0	2.78	0.84	0	8.33	-1.0779	Bajo	6.0945	 97 178	 1 566
Santa Fe	130	38	11.88	48.51	5.26	0	52.63	1.26	7.89	7.89	-0.6148	Alto	9.7712	 74 046	881
Santa Fe Chihuahua	65	17	6.67	27.91	0	0	94.12	1.23	0	0	-0.891	Medio	7.5788	 88 749	 1 291
Santa Isabel	240	66	5.33	27.54	1.52	0	15.15	1.15	1.52	3.03	-1.1499	Bajo	5.5228	 99 786	 1 673
Santa Isabel y Dolores	507	151	2.86	26.49	3.31	0.66	4.03	0.92	0.66	5.96	-1.2634	Bajo	4.6218	 102 883	 1 815
Santa Rita	26	8	12.5	37.5	0	0	75	2	0	50	-0.2718	Alto	12.4946	 56 321	520
El Saucito (El Sauz)	24	10	0	42.11	0	0	50	1.33	0	10	-0.8882	Medio	7.6007	 88 608	 1 285
La Senda	32	9	0	21.05	0	0	11.11	1.19	0	0	-1.3203	Bajo	4.1704	 103 928	 1 876
Soledad Herrera (Sabinos)	44	12	6.25	19.35	0	8.33	58.33	1.19	16.67	16.67	-0.8394	Medio	7.9881	 86 102	 1 195
Soledad Herrera	303	76	7.04	26.8	7.89	1.37	79.45	1.42	4.05	19.74	-0.6907	Alto	9.1686	 78 137	969
Tepehuaje	22	11	10	47.37	0	0	18.18	0.54	9.09	0	-1.0276	Medio	6.4944	 95 046	 1 492
Pueblo Nuevo (Tepehuaje)	 1 253	368	5.03	27.7	1.09	1.09	36.96	0.95	1.63	6.52	-1.1104	Bajo	5.8371	 98 413	 1 612
Los Terreros	46	14	5.88	40.63	7.14	0	85.71	1.28	7.14	7.14	-0.6544	Alto	9.4565	 76 187	930
El Tesoro	38	14	0	19.23	0	0	0	1.41	0	21.43	-1.1842	Bajo	5.2506	 100 830	 1 721
Hacienda las Trancas	146	43	9.9	49.49	6.98	0	51.22	1.34	9.76	13.95	-0.553	Alto	10.2615	 70 749	808
Trancas y Sabarado	447	131	6.13	37.5	3.05	0	8.4	1.09	2.29	9.16	-1.0282	Medio	6.4891	 95 080	 1 493
La Trinidad	172	52	2.48	32.23	5.77	0	90.38	1.19	0	5.77	-0.855	Medio	7.8642	 86 926	 1 230
Valle Hidalgo (El Quemado)	340	116	5.67	34.57	8.62	2.59	60.34	1.15	5.17	9.48	-0.809	Alto	8.2292	 84 488	 1 145
Vaqueros (Estación)	160	46	10.48	31.73	0	0	13.04	1.36	15.22	6.52	-0.8868	Medio	7.6119	 88 557	 1 281
Villa Vieja	90	10	6.49	38.16	0	0	40	0.88	0	0	-1.0619	Medio	6.2222	 96 507	 1 547
La Unión	409	112	5.6	33.59	1.79	0	67.89	1.02	0.89	0.89	-0.9681	Medio	6.9666	 92 429	 1 414
La Unión	148	45	6.67	38.46	0	0	93.33	0.94	2.22	4.44	-0.8262	Medio	8.0926	 85 424	 1 173
Pedro C. Morales (San Pedro)	54	15	2.7	31.43	6.67	7.14	100	1.5	64.29	40	-0.0443	Alto	14.3003	 46 242	365
La Barranca	20	5	8.33	41.67	0	20	20	2.22	20	20	-0.3195	Alto	12.1155	 58 612	556
Los Serrano	12	3	22.22	37.5	33.33	0	33.33	1.2	0	0	-0.612	Alto	9.7937	 73 886	877
La Estrella	16	4	10	22.22	25	0	33.33	1.45	0	50	-0.593	Alto	9.9441	 72 912	852
El Durazno	123	31	11.11	45	12.9	0	83.87	1.56	0	6.45	-0.4953	Alto	10.7202	 67 691	740
Providencia	12	3	0	0	0	0	33.33	0.92	0	0	-1.5305	Muy bajo	2.5016	 106 062	 1 998
La Meza	38	13	8	39.13	15.38	0	0	1.65	0	15.38	-0.7692	Alto	8.5456	 82 371	 1 094
Santa Cruz	8	3	0	40	0	0	66.67	0.57	0	0	-1.1236	Bajo	5.7321	 98 910	 1 636
Las Adjuntas	25	10	9.52	60	10	0	100	1.09	44.44	30	-0.0111	Alto	14.5638	 44 880	351
Hidalgo (La Presa)	17	8	7.69	53.85	12.5	0	87.5	0.89	12.5	0	-0.5772	Alto	10.07	 72 075	831
El Tigre	17	4	10	30	0	0	25	1.31	0	25	-0.8781	Medio	7.681	 88 115	 1 267
San Rafael (Camino A el Sauz)	28	6	13.33	33.33	0	0	66.67	2.33	16.67	16.67	-0.326	Alto	12.064	 58 918	563
Labores Nuevas	15	4	11.11	33.33	0	25	100	2.5	50	50	0.3866	Alto	17.7214	 30 885	200
La Laguna	13	3	0	0	0	0	0	1.63	0	0	-1.4438	Muy bajo	3.1897	 105 399	 1 962
La Laguna	9	3	14.29	28.57	0	0	100	0.9	0	0	-0.8605	Medio	7.8208	 87 215	 1 241
Lajitas (Lajitas del Durazno)	13	4	0	50	0	0	75	1.44	0	0	-0.7602	Alto	8.6173	 81 897	 1 074
Lajitas de Arriba	40	10	10.34	41.38	0	0	20	1.29	0	0	-0.9343	Medio	7.2349	 90 873	 1 365
La Nutria	58	16	9.76	40	0	0	12.5	1.21	0	12.5	-0.9256	Medio	7.3037	 90 458	 1 350
Las Palmas	60	18	4.76	41.46	5.56	0	22.22	0.98	0	0	-1.0484	Medio	6.3286	 95 953	 1 526
Las Palomitas (La Fragua)	131	41	5.26	30.11	7.32	34.15	100	1.14	17.07	39.02	-0.2844	Alto	12.3944	 56 940	528
El Mirador (El Ranchero)	62	19	2.22	28.89	10.53	0	15.79	1.55	5.26	15.79	-0.9085	Medio	7.4395	 89 627	 1 318
La Presa (Rancho Vega)	14	5	0	11.11	0	0	20	1.56	0	20	-1.1677	Bajo	5.382	 100 347	 1 702
El Palmerío de los Cordero (Ojos de Agua)	10	3	25	62.5	0	0	0	0.91	0	0	-0.7109	Alto	9.0087	 79 192	995
Érika	9	3	0	16.67	0	0	100	3	0	33.33	-0.3808	Alto	11.6292	 61 685	621
Los Guajes	15	6	9.09	54.55	16.67	0	16.67	0.88	0	16.67	-0.7448	Alto	8.7392	 81 049	 1 045
Santa Cecilia	39	9	4	12	0	0	22.22	1.7	0	11.11	-1.1173	Bajo	5.7818	 98 675	 1 627
Los Milagros	25	7	11.76	52.94	0	0	0	1.79	0	14.29	-0.6436	Alto	9.5426	 75 598	914
Los Terreros	15	4	0	20	0	0	100	1	0	0	-1.0963	Bajo	5.9489	 97 877	 1 593
Puerto Paraíso	28	9	4.35	43.48	22.22	0	44.44	1.27	0	11.11	-0.7186	Alto	8.947	 79 622	 1 006
La Presa (Salazar)	6	3	0	60	0	0	33.33	0.6	0	0	-1.0252	Medio	6.5134	 94 945	 1 491
El Olvido	42	11	0	36.36	0	0	9.09	2.1	0	36.36	-0.7067	Alto	9.0419	 78 987	988
Las Sabinas	88	25	1.59	25.81	4	0	40	1.09	0	8	-1.1161	Bajo	5.7918	 98 639	 1 624
El Mezcal	187	52	9.3	50	1.92	0	100	1.48	7.84	13.46	-0.4057	Alto	11.4313	 62 970	650
San Martín	20	6	13.33	46.15	0	0	100	1.43	0	16.67	-0.4529	Alto	11.0565	 65 423	702
Teléfonos de México (Centro Recreativo)	13	3	25	50	0	0	100	1.63	0	0	-0.3154	Alto	12.148	 58 434	554
Los Ébanos	9	4	0	50	50	0	100	1.29	0	0	-0.4297	Alto	11.2406	 64 224	672
San Ramón (El Topetón)	6	3	0	0	0	0	0	1.5	0	0	-1.4794	Muy bajo	2.9076	 105 703	 1 978
La Prietita	9	3	0	0	0	0	66.67	1.29	0	0	-1.322	Bajo	4.1569	 103 959	 1 878
El Milagro	14	4	27.27	36.36	0	0	25	1.17	0	25	-0.6377	Alto	9.5891	 75 260	909
Tecampo	67	18	17.31	30.77	0	0	0	1.2	0	11.11	-0.9739	Medio	6.9204	 92 672	 1 423
San Rafael	93	27	6.06	26.15	0	0	38.46	1.48	0	7.41	-0.982	Medio	6.8562	 93 047	 1 431
San Isidro	24	6	0	6.67	16.67	0	16.67	1.71	0	16.67	-1.1046	Bajo	5.8832	 98 198	 1 604
Palmitos	17	6	0	33.33	0	0	66.67	0.89	0	0	-1.102	Bajo	5.9035	 98 101	 1 601
La Esperanza	10	3	0	33.33	0	0	100	1.11	0	0	-0.9345	Medio	7.2334	 90 880	 1 366
La Chueca (El Faisán)	19	3	0	33.33	66.67	0	33.33	2.71	0	0	-0.3241	Alto	12.0793	 58 836	559
La Chueca	25	6	0	7.69	0	0	0	0.95	0	0	-1.5537	Muy bajo	2.3175	 106 222	 2 005
Santa Efigenia (Campestre)	15	5	7.69	38.46	0	0	60	1.25	20	20	-0.6193	Alto	9.7357	 74 283	888
Palmitos	75	17	5.17	24.14	23.53	0	43.75	1.67	23.53	52.94	-0.3692	Alto	11.7214	 61 076	611
Puerta Dorada	18	6	7.69	46.15	0	0	66.67	0.82	0	0	-0.8984	Medio	7.52	 89 114	 1 308
Campestre Providencia	7	3	40	80	0	0	0	0.88	0	0	-0.3588	Alto	11.8037	 60 566	597
Proyecto Palmitos Dos	12	3	0	0	0	0	66.67	2.4	0	0	-1.0186	Medio	6.5654	 94 685	 1 481
Ampliación San Juan	11	8	9.09	45.45	0	87.5	100	0.65	25	87.5	0.4171	Alto	17.963	 29 980	189
Carmen	 9 568	 2 590	2.41	13.24	1.12	0.08	1.05	1	0.62	4.63	-1.4124	Muy bajo	3.4393	 105 103	 1 949
Los Algodones	14	4	0	0	0	0	25	1.17	0	0	-1.489	Muy bajo	2.8309	 105 773	 1 981
Yurico	70	17	6.25	25	35.29	0	0	2.12	0	11.76	-0.7083	Alto	9.0292	 79 063	990
Fraccionamiento del Valle	253	52	9.78	25	0	0	3.85	1.17	5.77	3.85	-1.1249	Bajo	5.7217	 98 948	 1 639
San Juan del Pedregal	16	6	0	0	0	0	0	1	0	16.67	-1.5151	Muy bajo	2.6237	 105 965	 1 991
Emiliano Zapata	180	84	7.78	32.93	11.9	81.93	90.24	1.2	32.53	88.1	0.4862	Alto	18.5117	 28 082	175
El Barril	12	5	0	55.56	0	0	40	1.33	20	0	-0.7101	Alto	9.0146	 79 160	993
El Ranchito	27	8	13.33	46.67	0	25	12.5	1.8	62.5	37.5	0.0835	Alto	15.3147	 41 201	308
Buena Vista	 1 833	527	0.68	3.5	0.57	0	0	1.02	1.72	5.31	-1.5202	Muy bajo	2.5838	 106 011	 1 993
Alianza Real	 4 022	 1 051	1.91	14.78	0.48	0	5.44	2.07	5.54	8.94	-1.041	Medio	6.3876	 95 649	 1 516
Ciudad Cerralvo	 7 169	 2 157	5.02	25.42	1.44	0.23	2.19	0.88	0.28	4.27	-1.2904	Bajo	4.4082	 103 412	 1 842
Arroyo de Piedra	16	6	0	46.15	0	0	33.33	1.07	0	0	-1.0335	Medio	6.4472	 95 312	 1 502
Botellos de Arriba	72	22	21.67	53.45	22.73	13.64	81.82	1.18	9.52	27.27	-0.0571	Alto	14.1989	 46 757	373
Carboneras	9	4	0	71.43	25	50	100	1.29	0	50	0.2488	Alto	16.6275	 35 220	248
La Ermita	15	3	11.11	55.56	0	0	0	3	0	0	-0.3817	Alto	11.6217	 61 742	622
Juárez	148	51	4.17	42.5	11.76	1.96	41.18	0.94	3.92	9.8	-0.8608	Medio	7.818	 87 235	 1 243
Martinitos	49	22	10.64	60.87	4.55	0	0	0.6	4.76	4.55	-0.9043	Medio	7.4732	 89 431	 1 314
Mojarras	39	11	12.5	48.39	9.09	0	36.36	0.85	0	0	-0.8528	Medio	7.8819	 86 831	 1 226
El Palmarito	7	3	14.29	85.71	0	0	33.33	1.17	0	0	-0.4369	Alto	11.1838	 64 624	683
El Uno	18	4	0	11.11	0	0	0	3.6	0	0	-0.7956	Alto	8.3357	 83 766	 1 130
Uña de Gato	53	25	12.5	67.39	12	0	12	0.58	4	0	-0.7728	Alto	8.517	 82 581	 1 101
El Nogalito	13	3	0	28.57	66.67	33.33	100	1.63	33.33	66.67	0.3884	Alto	17.7355	 30 824	199
Cal Roma	7	3	0	40	0	0	33.33	0.39	0	0	-1.2802	Bajo	4.489	 103 207	 1 827
Santa Mónica	13	4	0	0	75	0	100	2.17	0	25	-0.3864	Alto	11.5845	 62 009	629
El Herradero	7	4	66.67	83.33	25	0	100	0.78	0	50	0.7502	Muy alto	20.6078	 21 607	115
La Curva	6	3	20	20	0	0	0	0.6	0	0	-1.2779	Bajo	4.5067	 103 168	 1 825
El Rodeo	12	4	0	11.11	0	0	0	0.71	0	0	-1.5855	Muy bajo	2.0649	 106 433	 2 017
Ciénega de Flores	 15 162	 3 864	2.8	15.22	1.94	0.16	0.61	1.05	0.92	5.15	-1.3653	Muy bajo	3.8135	 104 561	 1 918
San Francisco Uno	16	5	0	45.45	0	0	0	1.33	0	0	-1.0767	Bajo	6.104	 97 123	 1 565
Villas Campestres	325	87	2.24	14.35	0	0	8.14	0.95	3.45	5.75	-1.3751	Muy bajo	3.7354	 104 708	 1 927
Nora Nelly Uno	37	11	23.08	32	0	0	0	1.31	0	27.27	-0.7618	Alto	8.6044	 81 992	 1 078
Tierra Blanca	15	9	13.33	60	0	0	22.22	0.56	22.22	0	-0.7521	Alto	8.6816	 81 434	 1 062
Santa María	26	7	16.67	50	28.57	0	0	1.86	0	14.29	-0.4261	Alto	11.2695	 64 032	670
El Puerto	17	6	0	20	16.67	0	16.67	1.13	16.67	33.33	-0.9155	Medio	7.3843	 89 948	 1 325
Tierra Blanca	27	10	16.67	33.33	20	10	80	1.13	11.11	40	-0.2882	Alto	12.3643	 57 130	532
San Francisco Dos	16	5	16.67	50	0	0	0	1.45	0	0	-0.7909	Alto	8.3736	 83 535	 1 126
San Luis	57	17	2.63	24.32	11.76	0	11.76	0.79	11.76	0	-1.2127	Bajo	5.0244	 101 658	 1 761
Portal de las Salinas	 2 671	721	1	5.78	0	0	0.42	0.93	0	5.13	-1.5332	Muy bajo	2.4805	 106 088	 1 999
Los Panchos	8	3	16.67	33.33	0	0	0	0.67	0	33.33	-0.9669	Medio	6.976	 92 368	 1 413
Real del Sol	 5 983	 1 653	0.71	6.13	0.6	0.12	0.24	1.18	2.26	6.17	-1.4395	Muy bajo	3.2242	 105 367	 1 956
Campestre la Fortuna	14	5	9.09	36.36	0	20	40	0.67	0	20	-0.8596	Medio	7.8276	 87 166	 1 240
China	 8 997	 2 555	4.19	26.49	1.49	0.27	1.61	0.82	0.2	2.66	-1.3182	Bajo	4.1873	 103 878	 1 873
Barranco de Reyes	6	3	33.33	33.33	0	0	33.33	0.6	0	33.33	-0.6705	Alto	9.3293	 77 082	946
La Bóveda	7	3	14.29	85.71	0	33.33	66.67	0.58	0	33.33	-0.0826	Alto	13.9966	 47 885	386
Empalme Herreras	5	3	0	50	0	0	66.67	0.5	0	0	-1.0439	Medio	6.3646	 95 765	 1 518
Guadalupe (Guadalupe Uno)	4	3	25	100	0	0	100	1	33.33	0	0.2364	Alto	16.5283	 35 659	253
El Hueso	6	5	0	50	40	20	100	0.43	20	100	0.1443	Alto	15.7973	 38 926	287
Los Lirios	31	8	21.05	57.89	25	12.5	100	1.63	0	62.5	0.3145	Alto	17.1488	 33 102	223
La Morita	55	21	4.44	25	0	14.29	90.48	0.72	0	19.05	-0.8948	Medio	7.5483	 88 943	 1 297
Las Muchachitas (Las Muchachas)	8	3	0	16.67	0	0	100	0.89	0	100	-0.5539	Alto	10.255	 70 789	811
El Oscuro	19	6	18.75	37.5	16.67	0	16.67	0.86	0	0	-0.8989	Medio	7.5156	 89 146	 1 309
El Cuchillo (Paso de la Loma)	34	12	3.13	65.52	0	0	8.33	0.77	0	0	-0.9657	Medio	6.9855	 92 320	 1 412
Santa Teresa	23	4	0	11.76	0	0	0	1.53	0	0	-1.3549	Muy bajo	3.8955	 104 422	 1 906
Vía Nueva (Villa Nueva)	16	7	8.33	33.33	0	0	42.86	0.76	0	14.29	-1.0237	Medio	6.5255	 94 892	 1 488
Santa Mónica	21	9	0	45	0	0	0	0.5	0	0	-1.3081	Bajo	4.2674	 103 704	 1 861
La Unión (Rancho Nuevo)	17	6	0	42.86	0	16.67	100	1.13	33.33	100	0.1036	Alto	15.4747	 40 426	298
